dataset,ESPRESSO,BOCD,Window,PELT,BinSeg,FLOSS,ClaSP
ShapesAll,0.29,0.45,0.2,0.2,0.2,0.765,0.984
SonyAIBORobotSurface1,0.7340000000000001,0.3879999999999999,0.58,0.8320000000000001,0.8320000000000001,0.58,0.58
SonyAIBORobotSurface2,0.69,0.623,0.517,1.0,1.0,0.517,0.979
Strawberry,0.3389999999999999,0.27,0.332,0.332,0.332,0.332,0.494
SwedishLeaf,0.356,0.252,0.252,0.723,0.73,0.4629999999999999,0.997
Symbols,0.462,0.575,0.297,0.297,0.297,0.297,0.833
SyntheticControl,0.4589999999999999,0.1989999999999999,0.2,0.797,0.797,0.733,0.937
ToeSegmentation1,0.4579999999999999,0.813,0.5,0.947,0.947,0.5,1.0
ToeSegmentation2,0.472,0.593,0.5,0.5,0.5,0.5,0.997
Trace,0.318,0.4,0.344,0.344,0.344,0.75,0.652
TwoLeadECG,0.718,0.501,0.501,0.501,0.501,0.501,0.501
UMD,0.568,0.218,1.0,1.0,1.0,1.0,1.0
UWaveGestureLibraryAll,0.2189999999999999,0.372,0.201,0.884,0.887,0.564,0.992
UWaveGestureLibraryX,0.41,0.201,0.201,0.502,0.497,0.5489999999999999,0.987
UWaveGestureLibraryY,0.312,0.201,0.201,0.599,0.599,0.201,0.963
UWaveGestureLibraryZ,0.423,0.201,0.201,0.76,0.76,0.602,0.81
WordSynonyms,0.547,0.775,0.727,0.988,0.988,0.846,0.845
Yoga,0.439,0.589,0.504,0.504,0.504,0.504,0.995
